1,DR JITENDRA SINGH,Bharatiya Janata Party,566833,4243,571076,U084
2,CH LAL SINGH,Indian National Congress,444151,2552,446703,U084
3,GHULAM MOHD SAROORI,Independent,39519,80,39599,U084
4,MEHRAJ DIN,Independent,9055,27,9082,U084
5,AMIT KUMAR,Bahujan Samaj Party,8559,83,8642,U084
6,MOHD ALI GUJJAR,Independent,7139,19,7158,U084
7,MANOJ KUMAR,Ekam Sanatan Bharat Dal,6778,56,6834,U084
8,BALWAN SINGH,Jammu & Kashmir National Panthers Party (Bhim),3243,49,3292,U084
9,SWARN VEER SINGH JARAL,Independent,3071,17,3088,U084
10,DR PANKAJ SHARMA,Independent,2201,46,2247,U084
11,RAJESH MANCHANDA,Independent,1575,30,1605,U084
12,SACHIN GUPTA,Independent,1457,6,1463,U084
13,NOTA,None of the Above,12891,47,12938,U084
14,CHAMALA KIRAN KUMAR REDDY,Indian National Congress,623762,5381,629143,S2914
15,DR. BOORA NARSAIAH GOUD,Bharatiya Janata Party,401513,5460,406973,S2914
16,KYAMA MALLESH,Bharat Rashtra Samithi,254838,1349,256187,S2914
17,MAHAMD JAHANGIR,Communist Party of India  (Marxist),28412,318,28730,S2914
18,RAMESH GOUD THALLAPELLY,Alliance of Democratic Reforms Party,8130,16,8146,S2914
19,AITARAJU ABENDER,Bahujan Samaj Party,7703,66,7769,S2914
20,ASURA BALU,Independent,5747,3,5750,S2914
21,PULIGILLA BIXAPATHI YADAV,National Nava Kranthi Party,4718,0,4718,S2914
22,BUSHIPAKA VENKATAIAH,Independent,4674,1,4675,S2914
23,POOSA SRINIVAS,Telangana Rashtra Punahnirmana Samithi,4431,2,4433,S2914
24,NARENDRAA VEMULA,Jai Swaraj Party,4303,1,4304,S2914
25,KONGARI LINGA SWAMY,Dharma Samaj Party,4029,64,4093,S2914
26,TARIGOPPULA MAHENDER,Social Justice Party of India,3088,1,3089,S2914
27,KARINGULA YADAGIRI,Independent,2607,5,2612,S2914
28,BETHI NARENDER,Independent,2168,0,2168,S2914
29,M. GANESH,Pyramid Party of India,1996,14,2010,S2914
